NOM,lat,lon
Adagos,43.60445904,1.40955548
Aqsone,43.60129826,1.4508363
BigHappy,43.61231009,1.415531693
Botdesign,43.60403838,1.455036869
Brennus Analytics,43.60944939,1.442677637
BRICOPRIVE,43.57038152,1.413696156
Corpus Solutions,43.59413142,1.426568333
datactik,43.63314372,1.432359973
DataPy,43.57745794,1.395521428
Delair,43.62067998,1.444424024
DEXSTR,43.56514176,1.398156214
Earthcube,43.57277019,1.405170219
EasyMile,43.56841686,1.403196451
Edisys,43.54532292,1.453541585
Elter,43.60095056,1.40635898
Ephod,43.55006987,1.384513012
Ffly4u,43.56728841,1.372137825
Fittingbox,43.62319924,1.43014796
Flightwatching,43.57719792,1.438394224
Flipr ,43.62979116,1.467542758
Geotrend sas,43.65416497,1.439761661
Goa Soft SAS,43.60718316,1.442108045
Gogowego,43.64120351,1.447508557
HD Rain,43.59654939,1.46439215
HUBWARE,43.57480327,1.464339882
Inbenta,43.60122328,1.369788222
INNOSIDE,43.56451373,1.412436157
Inukshuk,43.64116695,1.454936275
Itrust,43.56040428,1.398305378
Jolibrain,43.57984906,1.408441759
Kaduceo,43.61648918,1.453790517
Kocliko,43.59981361,1.467788636
Konexinc,43.58350922,1.485618355
Ksaar solutions,43.63668228,1.443218385
Liberty Rider,43.58208032,1.476012868
Linogora GSO,43.60734747,1.477442471
Mews Partners,43.56833647,1.402636559
Naïo Technologies,43.60178388,1.441604299
OneLight Studio,43.59359189,1.442750161
OpenAirlines,43.59704635,1.443008975
PAARLY,43.56067183,1.398508048
PIXIENCE,43.57356992,1.402548685
Pixstart,43.61638034,1.40909637
Poolcare ,43.61930248,1.436063582
Sigfox,43.5891675,1.419235542
Simsoft Industry,43.58415437,1.407223036
STACK LABS,43.62646394,1.466719825
SUNiBrain,43.59895554,1.431855311
Synapse Développement,43.60767625,1.468140439
Telegrafik,43.63698109,1.463096267
TerraNIS,43.62126599,1.438482414
Trimane Sud Ouest,43.56527425,1.403192823
WeatherForce,43.58712515,1.444252607
